,,Atlanta,Atlanta,Atlanta,Atlanta,Chicago,Chicago,Chicago,Chicago,Nashville,Nashville,Nashville,Nashville,LA,LA,LA,LA,NY,NY,NY,NY
Mon,2/19/2018,1840,11160,-9320,114779,4383,7358,-2975,117503,1501,6596,-5095,107107,967,9144,-8177,93177,7610,12558,-4948,117847
Tue,2/20/2018,10234,8212,2022,116801,4431,0,4431,121934,0,5852,-5852,101255,0,5143,-5143,88034,5695,6152,-457,117390
Wed,2/21/2018,8356,10241,-1885,114916,6824,15401,-8577,113357,6821,8767,-1946,99309,0,3664,-3664,84370,8667,3793,4874,122264
Thu,2/22/2018,6445,8955,-2510,112406,3585,4114,-529,112828,15384,12174,3210,102519,9896,5879,4017,88387,1728,7878,-6150,116114
Fri,2/23/2018,4238,0,4238,116644,5650,3425,2225,115053,3063,3058,5,102524,6158,4351,1807,90194,6697,1766,4931,121045
Sat,2/24/2018,5579,12194,-6615,110029,12779,5097,7682,122735,9068,9561,-493,102031,4150,3211,939,91133,5347,9669,-4322,116723
Sun,2/25/2018,11986,14348,-2362,107667,2011,8265,-6254,116481,7428,4642,2786,104817,2919,5922,-3003,88130,8984,15612,-6628,110095
Mon,2/26/2018,8678,0,8678,116345,0,1005,-1005,115476,5496,7499,-2003,102814,5005,6113,-1108,87022,8179,10314,-2135,107960
Tue,2/27/2018,2512,10164,-7652,108693,2373,0,2373,117849,7217,6482,735,103549,13668,7710,5958,92980,6775,12461,-5686,102274
Wed,2/28/2018,4645,7598,-2953,105740,2092,7229,-5137,112712,0,13577,-13577,89972,3010,4139,-1129,91851,7223,5085,2138,104412
Thu,3/1/2018,7464,10388,-2924,102816,6894,15838,-8944,103768,11321,7111,4210,94182,6108,2682,3426,95277,9318,11762,-2444,101968
Fri,3/2/2018,1534,4163,-2629,100187,0,5963,-5963,97805,5702,9368,-3666,90516,0,5796,-5796,89481,6736,4760,1976,103944
Sat,3/3/2018,1855,0,1855,102042,2890,8718,-5828,91977,2830,0,2830,93346,0,0,0,89481,760,5459,-4699,99245
Sun,3/4/2018,3746,10374,-6628,95414,12617,2011,10606,102583,8983,937,8046,101392,3235,0,3235,92716,8202,1519,6683,105928
Mon,3/5/2018,5994,2657,3337,98751,1539,5608,-4069,98514,8802,7093,1709,103101,3956,7508,-3552,89164,17162,0,17162,123090
Tue,3/6/2018,4902,4198,704,99455,1677,6851,-5174,93340,7552,2330,5222,108323,16961,2820,14141,103305,0,2492,-2492,120598
Wed,3/7/2018,8083,2243,5840,105295,0,9379,-9379,83961,3118,0,3118,111441,0,10492,-10492,92813,1380,15603,-14223,106375
Thu,3/8/2018,0,4326,-4326,100969,5942,5955,-13,83948,6210,6759,-549,110892,2104,6685,-4581,88232,11047,3709,7338,113713
Fri,3/9/2018,0,11362,-11362,89607,7639,8393,-754,83194,7904,10015,-2111,108781,0,3464,-3464,84768,8114,8175,-61,113652
Sat,3/10/2018,2493,11516,-9023,80584,8615,5020,3595,86789,12471,2896,9575,118356,10123,0,10123,94891,9609,1714,7895,121547
Sun,3/11/2018,2139,11933,-9794,70790,5662,2411,3251,90040,10231,0,10231,128587,3091,5274,-2183,92708,8684,7686,998,122545
Mon,3/12/2018,4038,0,4038,74828,13564,3779,9785,99825,1894,6232,-4338,124249,3004,12204,-9200,83508,0,17656,-17656,104889
Tue,3/13/2018,1307,0,1307,76135,3057,11709,-8652,91173,14556,3668,10888,135137,0,9803,-9803,73705,7273,0,7273,112162
Wed,3/14/2018,5562,11961,-6399,69736,4203,0,4203,95376,2233,0,2233,137370,3509,3812,-303,73402,10637,0,10637,122799
Thu,3/15/2018,3425,1758,1667,71403,5871,3525,2346,97722,4536,8869,-4333,133037,7121,1534,5587,78989,9596,1834,7762,130561
Fri,3/16/2018,2632,8757,-6125,65278,4610,6337,-1727,95995,0,1402,-1402,131635,0,5665,-5665,73324,3712,9068,-5356,125205
Sat,3/17/2018,3000,6375,-3375,61903,0,6504,-6504,89491,1929,13816,-11887,119748,16747,0,16747,90071,11531,5541,5990,131195
Sun,3/18/2018,3314,1897,1417,63320,7074,6195,879,90370,2719,2399,320,120068,0,4047,-4047,86024,6860,7259,-399,130796
Mon,3/19/2018,2369,2493,-124,63196,4827,9447,-4620,85750,4577,11328,-6751,113317,2430,7386,-4956,81068,3614,5356,-1742,129054
Tue,3/20/2018,4739,6921,-2182,61014,5817,5903,-86,85664,3825,19579,-15754,97563,4412,4514,-102,80966,7922,17051,-9129,119925
Wed,3/21/2018,6130,0,6130,67144,0,1302,-1302,84362,10612,10670,-58,97505,5518,2964,2554,83520,5633,6164,-531,119394
Thu,3/22/2018,4131,7342,-3211,63933,11817,0,11817,96179,4509,5862,-1353,96152,1777,5418,-3641,79879,1313,11097,-9784,109610
Fri,3/23/2018,0,0,0,63933,11528,0,11528,107707,6208,11178,-4970,91182,8275,10662,-2387,77492,2800,4610,-1810,107800
Sat,3/24/2018,11085,0,11085,75018,0,0,0,107707,1705,3473,-1768,89414,11397,3930,7467,84959,1105,10783,-9678,98122
Sun,3/25/2018,8163,5769,2394,77412,11452,10372,1080,108787,1050,2561,-1511,87903,13076,2750,10326,95285,4059,6202,-2143,95979
Mon,3/26/2018,3331,1534,1797,79209,6337,5926,411,109198,4627,5580,-953,86950,0,2430,-2430,92855,13225,760,12465,108444
Tue,3/27/2018,3003,8058,-5055,74154,2116,4610,-2494,106704,0,5468,-5468,81482,9734,5797,3937,96792,8709,3313,5396,113840
Wed,3/28/2018,2731,0,2731,76885,2371,0,2371,109075,5286,6857,-1571,79911,9450,0,9450,106242,2554,9736,-7182,106658
Thu,3/29/2018,9310,11505,-2195,74690,0,14547,-14547,94528,3962,2513,1449,81360,0,6921,-6921,99321,6855,11003,-4148,102510
Fri,3/30/2018,9176,3525,5651,80341,7380,4452,2928,97456,6114,2616,3498,84858,6998,3235,3763,103084,6958,3639,3319,105829
Sat,3/31/2018,8254,2139,6115,86456,9825,0,9825,107281,10142,9549,593,85451,4296,5225,-929,102155,0,3286,-3286,102543
Sun,4/1/2018,11323,4951,6372,92828,1884,15526,-13642,93639,1993,14911,-12918,72533,7445,9326,-1881,100274,1250,6672,-5422,97121
Mon,4/2/2018,8712,2670,6042,98870,978,8253,-7275,86364,8243,4036,4207,76740,388,6513,-6125,94149,5602,2060,3542,100663
Tue,4/3/2018,1274,0,1274,100144,1889,2511,-622,85742,15142,3402,11740,88480,10564,2479,8085,102234,1221,9913,-8692,91971
Wed,4/4/2018,17900,0,17900,118044,2199,7304,-5105,80637,2514,12347,-9833,78647,7690,4847,2843,105077,5348,6073,-725,91246
Thu,4/5/2018,4291,3125,1166,119210,963,3202,-2239,78398,3266,2450,816,79463,0,5998,-5998,99079,7609,3081,4528,95774
Fri,4/6/2018,2173,2850,-677,118533,4470,4520,-50,78348,13432,5441,7991,87454,10166,0,10166,109245,1619,9885,-8266,87508
Sat,4/7/2018,10787,6428,4359,122892,1309,4408,-3099,75249,1336,0,1336,88790,4635,5493,-858,108387,8153,0,8153,95661
Sun,4/8/2018,1693,10286,-8593,114299,4078,12611,-8533,66716,3712,0,3712,92502,5761,4306,1455,109842,16969,2051,14918,110579
Mon,4/9/2018,1282,2632,-1350,112949,6256,11418,-5162,61554,7900,0,7900,100402,5262,7731,-2469,107373,1886,10183,-8297,102282
Tue,4/10/2018,3946,0,3946,116895,4294,2371,1923,63477,8033,1989,6044,106446,4947,1348,3599,110972,2314,4153,-1839,100443
Wed,4/11/2018,4459,1885,2574,119469,3769,978,2791,66268,7559,3010,4549,110995,3675,8672,-4997,105975,0,8891,-8891,91552
Thu,4/12/2018,8039,2174,5865,125334,441,867,-426,65842,0,7176,-7176,103819,6469,11096,-4627,101348,11397,2800,8597,100149
Fri,4/13/2018,3236,0,3236,128570,9175,1702,7473,73315,3992,4729,-737,103082,7900,10746,-2846,98502,11697,4674,7023,107172
Sat,4/14/2018,3203,8554,-5351,123219,7979,0,7979,81294,4379,9356,-4977,98105,14530,13156,1374,99876,3404,4041,-637,106535
Sun,4/15/2018,3646,4369,-723,122496,2613,4308,-1695,79599,2247,1336,911,99016,3991,0,3991,103867,9854,15225,-5371,101164
Mon,4/16/2018,5797,1693,4104,126600,11530,4976,6554,86153,11804,0,11804,110820,0,11199,-11199,92668,8619,8681,-62,101102
Tue,4/17/2018,5889,14137,-8248,118352,4135,5123,-988,85165,7216,9111,-1895,108925,7745,4159,3586,96254,9332,3660,5672,106774
Wed,4/18/2018,5232,9522,-4290,114062,1059,5305,-4246,80919,13077,1734,11343,120268,3842,9065,-5223,91031,9543,0,9543,116317
Thu,4/19/2018,0,1266,-1266,112796,6121,0,6121,87040,6125,0,6125,126393,3441,8285,-4844,86187,2060,7365,-5305,111012
Fri,4/20/2018,4285,5842,-1557,111239,11799,7844,3955,90995,8054,6333,1721,128114,2245,7717,-5472,80715,21618,5632,15986,126998
Sat,4/21/2018,4170,19262,-15092,96147,10722,3221,7501,98496,3958,6089,-2131,125983,5990,6377,-387,80328,8017,10214,-2197,124801
Sun,4/22/2018,10546,4054,6492,102639,8360,1219,7141,105637,6067,15200,-9133,116850,20081,6269,13812,94140,4527,10516,-5989,118812
Mon,4/23/2018,5151,8659,-3508,99131,4971,2893,2078,107715,2496,7087,-4591,112259,8764,9107,-343,93797,4075,5940,-1865,116947
Tue,4/24/2018,12044,9137,2907,102038,18508,11686,6822,114537,6007,4348,1659,113918,10588,2582,8006,101803,11013,2172,8841,125788
Wed,4/25/2018,3631,14985,-11354,90684,13259,6400,6859,121396,4360,0,4360,118278,6478,3304,3174,104977,730,0,730,126518
Thu,4/26/2018,3540,5418,-1878,88806,10433,0,10433,131829,8497,8572,-75,118203,3057,0,3057,108034,11515,11843,-328,126190
Fri,4/27/2018,0,3234,-3234,85572,8894,2565,6329,138158,3606,937,2669,120872,1368,0,1368,109402,5516,9366,-3850,122340
Sat,4/28/2018,9764,2607,7157,92729,7703,5557,2146,140304,22259,0,22259,143131,1692,0,1692,111094,0,5838,-5838,116502
Sun,4/29/2018,951,3230,-2279,90450,2445,5889,-3444,136860,3162,6745,-3583,139548,1684,0,1684,112778,11941,5543,6398,122900
Mon,4/30/2018,12680,7810,4870,95320,0,8743,-8743,128117,5898,4904,994,140542,13369,0,13369,126147,10001,5531,4470,127370
Tue,5/1/2018,0,7824,-7824,87496,5343,0,5343,133460,4678,13867,-9189,131353,2722,0,2722,128869,2919,7133,-4214,123156
Wed,5/2/2018,4607,13911,-9304,78192,4760,6557,-1797,131663,8965,9589,-624,130729,839,11868,-11029,117840,11761,4172,7589,130745
Thu,5/3/2018,2946,0,2946,81138,6822,12926,-6104,125559,3665,6984,-3319,127410,4291,7951,-3660,114180,1921,8709,-6788,123957
Fri,5/4/2018,5637,3025,2612,83750,4808,2114,2694,128253,0,19010,-19010,108400,3676,6173,-2497,111683,5203,5770,-567,123390
Sat,5/5/2018,8013,3721,4292,88042,1603,441,1162,129415,4600,7834,-3234,105166,6739,0,6739,118422,5544,7209,-1665,121725
Sun,5/6/2018,1595,3037,-1442,86600,8873,6932,1941,131356,13472,0,13472,118638,0,6329,-6329,112093,4412,14875,-10463,111262
Mon,5/7/2018,7953,6448,1505,88105,8133,1694,6439,137795,6584,14032,-7448,111190,1809,13134,-11325,100768,2483,5798,-3315,107947
Tue,5/8/2018,5583,5898,-315,87790,4261,1059,3202,140997,2184,9346,-7162,104028,4679,0,4679,105447,5794,9088,-3294,104653
Wed,5/9/2018,12244,3081,9163,96953,3101,3070,31,141028,7154,0,7154,111182,4189,1832,2357,107804,7393,3960,3433,108086
Thu,5/10/2018,5184,4099,1085,98038,0,13787,-13787,127241,6944,5021,1923,113105,7518,4483,3035,110839,4764,11268,-6504,101582
Fri,5/11/2018,10329,1470,8859,106897,1063,4076,-3013,124228,3719,6721,-3002,110103,2276,2731,-455,110384,5020,2822,2198,103780
Sat,5/12/2018,7071,5709,1362,108259,0,6372,-6372,117856,2191,8725,-6534,103569,9459,11581,-2122,108262,2645,3417,-772,103008
Sun,5/13/2018,0,1674,-1674,106585,0,10774,-10774,107082,1587,2558,-971,102598,2842,15908,-13066,95196,3951,3856,95,103103
Mon,5/14/2018,0,7137,-7137,99448,4136,16657,-12521,94561,3312,2881,431,103029,8028,17399,-9371,85825,0,3580,-3580,99523
Tue,5/15/2018,0,4498,-4498,94950,3262,7111,-3849,90712,6452,5094,1358,104387,5073,1844,3229,89054,3700,0,3700,103223
Wed,5/16/2018,5129,9840,-4711,90239,17339,8345,8994,99706,5866,0,5866,110253,0,0,0,89054,3538,5972,-2434,100789
Thu,5/17/2018,3981,0,3981,94220,8095,6114,1981,101687,9927,3381,6546,116799,2980,5463,-2483,86571,0,8819,-8819,91970
Fri,5/18/2018,3351,3675,-324,93896,1607,5343,-3736,97951,10434,2609,7825,124624,1945,3954,-2009,84562,0,5640,-5640,86330
Sat,5/19/2018,6676,5583,1093,94989,7590,17432,-9842,88109,7971,10405,-2434,122190,2974,3933,-959,83603,4020,13063,-9043,77287
Sun,5/20/2018,1882,7005,-5123,89866,13222,1765,11457,99566,3810,6488,-2678,119512,6524,1404,5120,88723,3358,8447,-5089,72198
Mon,5/21/2018,12810,3860,8950,98816,20750,15005,5745,105311,4477,4610,-133,119379,2595,6047,-3452,85271,1725,2586,-861,71337
Tue,5/22/2018,5793,6470,-677,98139,0,4543,-4543,100768,10068,6770,3298,122677,0,3433,-3433,81838,8134,0,8134,79471
Wed,5/23/2018,7978,1242,6736,104875,9233,5572,3661,104429,11002,7717,3285,125962,4879,6421,-1542,80296,0,8431,-8431,71040
Thu,5/24/2018,6087,0,6087,110962,3397,2445,952,105381,0,11345,-11345,114617,8844,1684,7160,87456,10567,2756,7811,78851
Fri,5/25/2018,6921,5527,1394,112356,1741,0,1741,107122,2413,7162,-4749,109868,3183,481,2702,90158,2181,9861,-7680,71171
Sat,5/26/2018,5103,6723,-1620,110736,10156,0,10156,117278,945,7809,-6864,103004,0,1390,-1390,88768,2423,5227,-2804,68367
Sun,5/27/2018,15703,6506,9197,119933,2965,1611,1354,118632,2006,6706,-4700,98304,2633,6359,-3726,85042,4055,1169,2886,71253
Mon,5/28/2018,5077,15780,-10703,109230,5488,1389,4099,122731,3895,6766,-2871,95433,3752,8049,-4297,80745,4730,8535,-3805,67448
Tue,5/29/2018,4903,4064,839,110069,6324,0,6324,129055,5702,5380,322,95755,13109,11534,1575,82320,8202,7016,1186,68634
Wed,5/30/2018,7675,10286,-2611,107458,3798,6590,-2792,126263,0,2780,-2780,92975,7106,0,7106,89426,14324,5630,8694,77328
Thu,5/31/2018,4437,3961,476,107934,2502,2832,-330,125933,17394,3753,13641,106616,4867,5871,-1004,88422,3022,0,3022,80350
Fri,6/1/2018,3159,6554,-3395,104539,0,0,0,125933,3750,7826,-4076,102540,0,2842,-2842,85580,1676,11115,-9439,70911
Sat,6/2/2018,12126,3956,8170,112709,9619,11590,-1971,123962,2079,7458,-5379,97161,0,7599,-7599,77981,3918,6040,-2122,68789
Sun,6/3/2018,3219,4017,-798,111911,0,11951,-11951,112011,0,1980,-1980,95181,6571,5662,909,78890,5654,3994,1660,70449
Mon,6/4/2018,9837,2073,7764,119675,0,5539,-5539,106472,0,1885,-1885,93296,1639,4301,-2662,76228,4274,0,4274,74723
Tue,6/5/2018,1639,1948,-309,119366,8388,1168,7220,113692,2687,5298,-2611,90685,7069,4396,2673,78901,729,5913,-5184,69539
Wed,6/6/2018,4561,0,4561,123927,2474,3106,-632,113060,6900,3094,3806,94491,3999,2276,1723,80624,4400,4437,-37,69502
Thu,6/7/2018,2697,7653,-4956,118971,1046,6388,-5342,107718,10601,6489,4112,98603,8398,2855,5543,86167,1496,4123,-2627,66875
Fri,6/8/2018,5005,2304,2701,121672,4699,7367,-2668,105050,3299,1350,1949,100552,3633,0,3633,89800,2903,4634,-1731,65144
Sat,6/9/2018,0,7432,-7432,114240,3160,4916,-1756,103294,7828,10027,-2199,98353,3630,4189,-559,89241,2032,2111,-79,65065
Sun,6/10/2018,3327,10934,-7607,106633,5970,7513,-1543,101751,1505,4512,-3007,95346,5917,15486,-9569,79672,5930,0,5930,70995
Mon,6/11/2018,10617,0,10617,117250,3732,5642,-1910,99841,0,3296,-3296,92050,5803,6097,-294,79378,8774,7511,1263,72258
Tue,6/12/2018,10070,0,10070,127320,3724,2991,733,100574,1650,2436,-786,91264,3112,3593,-481,78897,3225,2630,595,72853
Wed,6/13/2018,1774,6975,-5201,122119,3180,3073,107,100681,0,13583,-13583,77681,8134,642,7492,86389,14950,7711,7239,80092
Thu,6/14/2018,5980,0,5980,128099,0,10405,-10405,90276,7114,9779,-2665,75016,2100,422,1678,88067,8637,0,8637,88729
Fri,6/15/2018,0,2566,-2566,125533,0,1046,-1046,89230,7756,0,7756,82772,5596,1954,3642,91709,0,2323,-2323,86406
Sat,6/16/2018,0,18282,-18282,107251,1060,9912,-8852,80378,0,4568,-4568,78204,4675,2611,2064,93773,11052,7222,3830,90236
Sun,6/17/2018,11304,14959,-3655,103596,5471,9256,-3785,76593,1553,0,1553,79757,0,0,0,93773,14806,4443,10363,100599
Mon,6/18/2018,5590,10512,-4922,98674,6799,6403,396,76989,0,5674,-5674,74083,9409,5171,4238,98011,2999,1489,1510,102109
Tue,6/19/2018,3668,2591,1077,99751,5846,4969,877,77866,4637,11620,-6983,67100,2109,3388,-1279,96732,0,5804,-5804,96305
Wed,6/20/2018,4252,0,4252,104003,2501,1887,614,78480,10029,4494,5535,72635,0,0,0,96732,0,4303,-4303,92002
Thu,6/21/2018,2216,5547,-3331,100672,2161,9133,-6972,71508,2244,0,2244,74879,6630,14343,-7713,89019,3544,1548,1996,93998
Fri,6/22/2018,3431,10192,-6761,93911,1389,2796,-1407,70101,0,6927,-6927,67952,1957,4725,-2768,86251,12982,0,12982,106980
Sat,6/23/2018,3722,10707,-6985,86926,4492,6419,-1927,68174,1580,3036,-1456,66496,968,21919,-20951,65300,2532,8671,-6139,100841
Sun,6/24/2018,7276,4471,2805,89731,0,7530,-7530,60644,4888,7878,-2990,63506,0,2341,-2341,62959,0,1551,-1551,99290
Mon,6/25/2018,1198,8831,-7633,82098,10684,8932,1752,62396,3255,13890,-10635,52871,3190,0,3190,66149,8800,0,8800,108090
Tue,6/26/2018,7710,0,7710,89808,0,2558,-2558,59838,0,0,0,52871,2146,2928,-782,65367,12399,10325,2074,110164
Wed,6/27/2018,3078,2104,974,90782,8886,0,8886,68724,3425,9113,-5688,47183,2050,3445,-1395,63972,8929,8098,831,110995
Thu,6/28/2018,14061,12883,1178,91960,0,9035,-9035,59689,14282,0,14282,61465,0,9620,-9620,54352,0,6175,-6175,104820
Fri,6/29/2018,0,3177,-3177,88783,0,0,0,59689,4760,3820,940,62405,5085,1359,3726,58078,2568,5950,-3382,101438
Sat,6/30/2018,5335,2151,3184,91967,6004,1131,4873,64562,12192,5189,7003,69408,7618,7968,-350,57728,7602,8083,-481,100957
Sun,7/1/2018,6258,9957,-3699,88268,5181,4089,1092,65654,4249,7466,-3217,66191,6158,0,6158,63886,0,0,0,100957
Mon,7/2/2018,3011,6355,-3344,84924,617,3746,-3129,62525,15164,3367,11797,77988,3469,5328,-1859,62027,4058,9355,-5297,95660
Tue,7/3/2018,7810,8512,-702,84222,1249,0,1249,63774,6095,0,6095,84083,14646,3938,10708,72735,6729,1968,4761,100421
Wed,7/4/2018,6350,3327,3023,87245,5462,3561,1901,65675,2530,6775,-4245,79838,0,959,-959,71776,4067,729,3338,103759
Thu,7/5/2018,16585,8140,8445,95690,3183,4699,-1516,64159,7282,0,7282,87120,1170,4255,-3085,68691,2337,0,2337,106096
Fri,7/6/2018,0,4378,-4378,91312,4374,1389,2985,67144,0,1378,-1378,85742,11667,8495,3172,71863,14404,0,14404,120500
Sat,7/7/2018,4458,11941,-7483,83829,1803,987,816,67960,0,6352,-6352,79390,0,5469,-5469,66394,2019,9291,-7272,113228
Sun,7/8/2018,4988,0,4988,88817,4888,1768,3120,71080,4524,889,3635,83025,6503,6851,-348,66046,5383,10530,-5147,108081
Mon,7/9/2018,17257,0,17257,106074,3621,4492,-871,70209,7447,3259,4188,87213,2613,3626,-1013,65033,0,7658,-7658,100423
Tue,7/10/2018,3729,3982,-253,105821,2058,617,1441,71650,3540,2663,877,88090,2745,6604,-3859,61174,6116,3748,2368,102791
Wed,7/11/2018,0,5474,-5474,100347,8653,844,7809,79459,4461,3427,1034,89124,9490,0,9490,70664,0,8141,-8141,94650
Thu,7/12/2018,7415,1645,5770,106117,1374,10933,-9559,69900,11981,0,11981,101105,0,0,0,70664,13012,863,12149,106799
Fri,7/13/2018,0,2165,-2165,103952,0,2105,-2105,67795,1594,4684,-3090,98015,2561,2050,511,71175,12222,6393,5829,112628
Sat,7/14/2018,0,6716,-6716,97236,9371,0,9371,77166,4892,4617,275,98290,0,0,0,71175,8315,17455,-9140,103488
Sun,7/15/2018,1959,2216,-257,96979,5672,2454,3218,80384,0,0,0,98290,9121,0,9121,80296,14982,7344,7638,111126
Mon,7/16/2018,2286,0,2286,99265,9629,6400,3229,83613,8044,11036,-2992,95298,1690,2218,-528,79768,4692,3257,1435,112561
Tue,7/17/2018,7108,12639,-5531,93734,0,12061,-12061,71552,4666,5374,-708,94590,0,2676,-2676,77092,4016,6465,-2449,110112
Wed,7/18/2018,5591,7712,-2121,91613,9101,3651,5450,77002,10214,3310,6904,101494,938,6352,-5414,71678,6853,2972,3881,113993
Thu,7/19/2018,8342,7620,722,92335,6383,6142,241,77243,6271,1038,5233,106727,2819,6911,-4092,67586,2471,4725,-2254,111739
Fri,7/20/2018,10523,7617,2906,95241,7922,4223,3699,80942,8769,0,8769,115496,0,0,0,67586,0,5818,-5818,105921
Sat,7/21/2018,4777,3743,1034,96275,2438,1820,618,81560,3356,5803,-2447,113049,10977,0,10977,78563,2724,0,2724,108645
Sun,7/22/2018,8872,7410,1462,97737,4927,2627,2300,83860,11213,5300,5913,118962,4991,10576,-5585,72978,1568,4556,-2988,105657
Mon,7/23/2018,0,0,0,97737,1897,8682,-6785,77075,9734,6894,2840,121802,5129,3441,1688,74666,13739,10620,3119,108776
Tue,7/24/2018,6052,0,6052,103789,0,0,0,77075,6035,4461,1574,123376,3271,0,3271,77937,12767,12960,-193,108583
Wed,7/25/2018,2773,0,2773,106562,3994,5542,-1548,75527,4985,1422,3563,126939,2062,8540,-6478,71459,0,12166,-12166,96417
Thu,7/26/2018,12690,4026,8664,115226,15159,7492,7667,83194,4849,14734,-9885,117054,9289,7540,1749,73208,3160,9237,-6077,90340
Fri,7/27/2018,11017,9232,1785,117011,0,0,0,83194,0,5538,-5538,111516,4749,0,4749,77957,0,3048,-3048,87292
Sat,7/28/2018,14361,8021,6340,123351,6610,6928,-318,82876,9499,4837,4662,116178,0,6280,-6280,71677,9950,0,9950,97242
Sun,7/29/2018,8241,10744,-2503,120848,5112,2761,2351,85227,0,4115,-4115,112063,2768,8058,-5290,66387,2742,4383,-1641,95601
Mon,7/30/2018,2806,2864,-58,120790,8181,8065,116,85343,3079,5039,-1960,110103,3596,2680,916,67303,5341,2724,2617,98218
Tue,7/31/2018,6252,11276,-5024,115766,6269,4030,2239,87582,2953,9768,-6815,103288,3669,3637,32,67335,4145,4026,119,98337
Wed,8/1/2018,8066,2383,5683,121449,4376,1374,3002,90584,718,485,233,103521,0,4510,-4510,62825,4366,11671,-7305,91032
Thu,8/2/2018,6418,4773,1645,123094,0,7675,-7675,82909,0,8007,-8007,95514,1470,4991,-3521,59304,11555,710,10845,101877
Fri,8/3/2018,3998,12447,-8449,114645,4500,1027,3473,86382,10324,14201,-3877,91637,0,3915,-3915,55389,8583,7660,923,102800
Sat,8/4/2018,5091,4900,191,114836,7283,10127,-2844,83538,9321,11980,-2659,88978,5429,6864,-1435,53954,8821,2909,5912,108712
Sun,8/5/2018,6273,8927,-2654,112182,6429,10224,-3795,79743,2967,7869,-4902,84076,6115,5462,653,54607,7009,1723,5286,113998
Mon,8/6/2018,12225,7594,4631,116813,6395,1976,4419,84162,7016,5160,1856,85932,4454,0,4454,59061,15002,9110,5892,119890
Tue,8/7/2018,3260,2498,762,117575,9742,6376,3366,87528,6976,4346,2630,88562,5279,1921,3358,62419,2425,11890,-9465,110425
Wed,8/8/2018,9359,11791,-2432,115143,0,8820,-8820,78708,3269,7021,-3752,84810,4299,0,4299,66718,10271,4368,5903,116328
Thu,8/9/2018,9637,1931,7706,122849,2883,0,2883,81591,4965,6811,-1846,82964,1435,3596,-2161,64557,4847,10935,-6088,110240
Fri,8/10/2018,1569,20829,-19260,103589,2669,0,2669,84260,8373,0,8373,91337,8619,0,8619,73176,2898,3260,-362,109878
Sat,8/11/2018,14569,8466,6103,109692,15579,2015,13564,97824,0,718,-718,90619,7335,0,7335,80511,5692,1962,3730,113608
Sun,8/12/2018,3442,1959,1483,111175,6686,1802,4884,102708,5159,6567,-1408,89211,0,6229,-6229,74282,7282,5618,1664,115272
Mon,8/13/2018,886,0,886,112061,1318,7345,-6027,96681,6740,1784,4956,94167,7618,0,7618,81900,9536,4972,4564,119836
Tue,8/14/2018,1881,5991,-4110,107951,4272,2945,1327,98008,2724,8971,-6247,87920,3114,2695,419,82319,1464,0,1464,121300
Wed,8/15/2018,3238,2702,536,108487,2631,5845,-3214,94794,10770,0,10770,98690,13636,2819,10817,93136,0,3934,-3934,117366
Thu,8/16/2018,10029,3912,6117,114604,7362,5170,2192,96986,8952,12003,-3051,95639,6066,3816,2250,95386,7951,4947,3004,120370
Fri,8/17/2018,8887,8698,189,114793,10620,2617,8003,104989,4826,0,4826,100465,7831,5279,2552,97938,9230,12879,-3649,116721
Sat,8/18/2018,4694,5496,-802,113991,9309,6503,2806,107795,5090,1871,3219,103684,0,0,0,97938,1589,1648,-59,116662
Sun,8/19/2018,0,9312,-9312,104679,0,8468,-8468,99327,2862,12869,-10007,93677,10387,6061,4326,102264,9129,7972,1157,117819
Mon,8/20/2018,2427,3824,-1397,103282,1795,14436,-12641,86686,7960,3747,4213,97890,3338,7961,-4623,97641,1159,7038,-5879,111940
Tue,8/21/2018,2349,6050,-3701,99581,6681,5781,900,87586,2139,4994,-2855,95035,3499,869,2630,100271,0,6481,-6481,105459
Wed,8/22/2018,7496,15107,-7611,91970,12551,3535,9016,96602,2937,2724,213,95248,3416,6908,-3492,96779,7446,7117,329,105788
Thu,8/23/2018,12817,0,12817,104787,5269,3136,2133,98735,0,1465,-1465,93783,14568,6213,8355,105134,10456,4395,6061,111849
Fri,8/24/2018,13053,0,13053,117840,3902,5110,-1208,97527,0,4322,-4322,89461,8068,4966,3102,108236,1158,0,1158,113007
Sat,8/25/2018,10943,6166,4777,122617,4947,3482,1465,98992,7674,4846,2828,92289,7627,6118,1509,109745,3904,3762,142,113149
Sun,8/26/2018,5231,6363,-1132,121485,5121,8202,-3081,95911,4309,13738,-9429,82860,6867,1470,5397,115142,9214,11351,-2137,111012
Mon,8/27/2018,0,9876,-9876,111609,9900,7285,2615,98526,4006,4874,-868,81992,7229,3992,3237,118379,8413,12431,-4018,106994
Tue,8/28/2018,0,7640,-7640,103969,6531,13007,-6476,92050,7156,7418,-262,81730,1775,0,1775,120154,6961,8368,-1407,105587
Wed,8/29/2018,948,5091,-4143,99826,5003,1956,3047,95097,17812,6410,11402,93132,2234,0,2234,122388,9382,12693,-3311,102276
Thu,8/30/2018,2743,7604,-4861,94965,14815,2632,12183,107280,6840,8922,-2082,91050,7113,7984,-871,121517,5832,9325,-3493,98783
Fri,8/31/2018,0,4206,-4206,90759,910,5504,-4594,102686,1774,0,1774,92824,20226,7423,12803,134320,1028,3551,-2523,96260
Sat,9/1/2018,4390,4936,-546,90213,14223,7965,6258,108944,8780,3115,5665,98489,1709,7247,-5538,128782,0,3154,-3154,93106
